Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
									armor			armour
									color			colour
									counseled			counselled
									counseling			counselling
									counselor			counsellor
									enroll			enrol
									favor			favour
									honor			honour
									Honor			Honour
									judgment			judgement
									kneeled			knelt
									labor			labour
									leveled			levelled
									leveling			levelling
									marveled			marvelled
									marveling			marvelling
									marvelous			marvellous
									mold			mould		Includes moulding, smoulder
									neighbor			neighbour
									odor			odour
									paneled			panelled
									quarreled			quarrelled
									quarreling			quarrelling
									realize			realise
									savior			saviour
									shriveled			shrivelled
									splendor			splendour
									Splendor			Splendour
									traveled			travelled
									traveling			travelling
									worshiped			worshipped
